Method,Task Type,CLIP,LPIPS,SSIM
Adaptive Brain,General Inpainting,0.23720510482788085,0.03870362043380737,0.9623839767390547
Standard Baseline,General Inpainting,0.2369639205932617,0.038549549877643585,0.964352332683388
Adaptive Brain,General Inpainting,0.22781164169311524,0.02984604984521866,0.9742688284961298
Standard Baseline,General Inpainting,0.22545440673828124,0.02615991421043873,0.9739628257334523
Adaptive Brain,General Inpainting,0.26295345306396484,0.025934068486094475,0.9755313098412954
Standard Baseline,General Inpainting,0.2644587707519531,0.023722359910607338,0.9758868629759104
Adaptive Brain,Texture/Color Edit,0.25029998779296875,0.0779649019241333,0.8935205366399108
Standard Baseline,Texture/Color Edit,0.2494514274597168,0.07449133694171906,0.8954682338336706
Adaptive Brain,General Inpainting,0.2569379234313965,0.3135221600532532,0.8280799077600525
Standard Baseline,General Inpainting,0.2610051727294922,0.027340035885572433,0.9677592926791266
Adaptive Brain,General Inpainting,0.2084713363647461,0.04615510255098343,0.9569575063108537
Standard Baseline,General Inpainting,0.2077992820739746,0.033448029309511185,0.9559938770163379
Adaptive Brain,General Inpainting,0.22247207641601563,0.032059065997600555,0.9629789268271898
Standard Baseline,General Inpainting,0.22267332077026367,0.03236207365989685,0.9599345657848637
Adaptive Brain,General Inpainting,0.2247386932373047,0.03269188106060028,0.9642682565311832
Standard Baseline,General Inpainting,0.22652828216552734,0.03122316487133503,0.9683126927186958
Adaptive Brain,Texture/Color Edit,0.21314485549926757,0.07493120431900024,0.9479554552578311
Standard Baseline,Texture/Color Edit,0.21256284713745116,0.0763244777917862,0.9466878279415832
Adaptive Brain,General Inpainting,0.2394258689880371,0.189767986536026,0.8210374584567395
Standard Baseline,General Inpainting,0.24357322692871095,0.06478889286518097,0.9190896067022248
Adaptive Brain,General Inpainting,0.23912195205688477,0.308011919260025,0.6499164207761259
Standard Baseline,General Inpainting,0.24945152282714844,0.06554465740919113,0.9164829270394302
Adaptive Brain,General Inpainting,0.20190151214599608,0.06485806405544281,0.9238277956404698
Standard Baseline,General Inpainting,0.20493837356567382,0.05998635292053223,0.9195203823008057
Adaptive Brain,General Inpainting,0.24039831161499023,0.04045892134308815,0.966750901346867
Standard Baseline,General Inpainting,0.23940299987792968,0.029443591833114624,0.9682906939565403
Adaptive Brain,General Inpainting,0.22375814437866212,0.023806843906641006,0.9774892296673325
Standard Baseline,General Inpainting,0.22335641860961913,0.019654516130685806,0.9844876315374407
Adaptive Brain,General Inpainting,0.2470918083190918,0.0447472482919693,0.9623957348957386
Standard Baseline,General Inpainting,0.24792953491210937,0.03923802450299263,0.9666068369976655
Adaptive Brain,General Inpainting,0.1848815155029297,0.11710581183433533,0.9038940209738004
Standard Baseline,General Inpainting,0.185317325592041,0.03451405465602875,0.9572468226612182
Adaptive Brain,General Inpainting,0.23220413208007812,0.03781944513320923,0.9652969550504323
Standard Baseline,General Inpainting,0.23231945037841797,0.0298635121434927,0.9706884829141359
Adaptive Brain,General Inpainting,0.23409097671508788,0.027748670428991318,0.9436468513782962
Standard Baseline,General Inpainting,0.23446399688720704,0.028213467448949814,0.960038744274272
Adaptive Brain,General Inpainting,0.21216897964477538,0.05502501130104065,0.9472752317964936
Standard Baseline,General Inpainting,0.2104509162902832,0.048989564180374146,0.9515939509021387
Adaptive Brain,Object Swap,0.29335731506347656,0.0623275563120842,0.9355455826911419
Standard Baseline,Object Swap,0.29321887969970706,0.06277503073215485,0.9353531452847551
