Method,CLIP,LPIPS
Adaptive Brain,0.22126108169555664,0.0799347311258316
Standard Baseline,0.21842905044555663,0.0818134993314743
Adaptive Brain,0.17602148056030273,0.046970538794994354
Standard Baseline,0.17649904251098633,0.05134707689285278
Adaptive Brain,0.22725481033325196,0.1428019106388092
Standard Baseline,0.2198501205444336,0.0288433488458395
Adaptive Brain,0.2362162971496582,0.248260959982872
Standard Baseline,0.22786632537841797,0.0618012361228466
Adaptive Brain,0.23659061431884765,0.05326006934046745
Standard Baseline,0.235548152923584,0.04223279654979706
Adaptive Brain,0.2321142578125,0.039683952927589417
Standard Baseline,0.23261629104614256,0.04260960593819618
Adaptive Brain,0.21968149185180663,0.07072366029024124
Standard Baseline,0.22073482513427733,0.06448915600776672
Adaptive Brain,0.2231241798400879,0.02710200473666191
Standard Baseline,0.22214654922485352,0.023408707231283188
Adaptive Brain,0.25302623748779296,0.033171214163303375
Standard Baseline,0.2526324462890625,0.03073255345225334
Adaptive Brain,0.2406764030456543,0.05879787355661392
Standard Baseline,0.24160205841064453,0.05223443731665611
Adaptive Brain,0.25703012466430664,0.21276149153709412
Standard Baseline,0.25084083557128906,0.07692023366689682
Adaptive Brain,0.21283605575561523,0.04977830499410629
Standard Baseline,0.2120591926574707,0.04705381393432617
Adaptive Brain,0.19369710922241212,0.04099144786596298
Standard Baseline,0.19375656127929688,0.043676815927028656
Adaptive Brain,0.20261314392089844,0.04019208997488022
Standard Baseline,0.20426528930664062,0.033700790256261826
Adaptive Brain,0.23695951461791992,0.04120774567127228
Standard Baseline,0.23768272399902343,0.038737550377845764
